Larve_ratio,Pupe_ratio,Male_ratio,Female_ratio
1,0.0167598,0.547486,0.458101
1,0.0833333,0.247312,0.201613
1,0.0911901,0.132921,0.117465
1,0.113895,0.104784,0.0933941
1,0.137255,0.0900178,0.0775401
1,0.164587,0.0850234,0.0865835
1,0.208815,0.0924855,0.0924855
1,0.201967,0.109508,0.095082
1,0.199425,0.116092,0.112069
1,0.192252,0.113801,0.108475
1,0.185981,0.112237,0.111021
1,0.175876,0.108154,0.111186
1,0.18662,0.113556,0.111796
1,0.187484,0.109262,0.113732
1,0.18534,0.110157,0.109738
1,0.176055,0.102068,0.104086
1,0.209798,0.120147,0.125146
1,0.231295,0.136311,0.14031
1,0.248292,0.163306,0.16264
1,0.253958,0.180637,0.17847
1,0.246792,0.2023,0.199967
1,0.270455,0.212465,0.214298
1,0.267622,0.229462,0.235961
1,0.267622,0.243793,0.245126
1,0.271621,0.258457,0.251958
1,0.266789,0.266789,0.264123
1,0.267289,0.279953,0.278787
1,0.26129,0.288952,0.288285
1,0.257457,0.296617,0.288285
1,0.268789,0.299117,0.291951
1,0.265622,0.30245,0.302283
1,0.263456,0.303283,0.312281
1,0.263623,0.308949,0.314281
1,0.267955,0.321613,0.314948
1,0.273121,0.328779,0.320113
1,0.266289,0.331445,0.328945
1,0.25979,0.329278,0.329945
1,0.257457,0.328445,0.329445
1,0.264289,0.326279,0.331278
1,0.263456,0.332111,0.330445
1,0.259623,0.339943,0.327945
1,0.266456,0.338777,0.328112
1,0.265289,0.405766,0.324613
1,0.270288,0.388269,0.326112
1,0.268289,0.379937,0.328445
1,0.270288,0.375104,0.328445
1,0.26229,0.381103,0.329612
1,0.264123,0.375104,0.330112
1,0.265956,0.372605,0.330445
1,0.255291,0.435261,0.337944
1,0.265622,0.425596,0.341276
1,0.262456,0.411431,0.344109
1,0.268955,0.407265,0.339443
1,0.266289,0.3996,0.33911
1,0.263789,0.394768,0.34111
1,0.273621,0.382603,0.342276
1,0.277954,0.443926,0.34061
1,0.266456,0.437427,0.342443
1,0.263123,0.42143,0.340777
1,0.261956,0.414598,0.340277
1,0.266956,0.409265,0.339443
1,0.258957,0.408099,0.336944
1,0.255291,0.402766,0.329445
1,0.250458,0.463756,0.328112
1,0.244959,0.454258,0.329445
1,0.256957,0.435261,0.327445
1,0.25929,0.432928,0.321613
1,0.266622,0.418597,0.316114
1,0.265456,0.421763,0.31778
1,0.274288,0.415264,0.313114
1,0.270622,0.47942,0.306616
1,0.268122,0.468422,0.305282
1,0.276621,0.457757,0.297617
1,0.274288,0.449592,0.297284
1,0.270455,0.442593,0.300283
1,0.270455,0.429428,0.296117
1,0.265622,0.428762,0.29895
1,0.270122,0.496251,0.297784
1,0.263123,0.488419,0.30295
1,0.257624,0.478087,0.301116
1,0.263123,0.46159,0.298284
1,0.257457,0.448592,0.298117
1,0.264956,0.441593,0.292785
1,0.26179,0.435094,0.294784
1,0.268122,0.499417,0.291951
1,0.272121,0.492085,0.288452
1,0.262623,0.487252,0.295284
1,0.25829,0.480753,0.297617
1,0.261623,0.471088,0.296451
1,0.260457,0.456591,0.301616
1,0.256457,0.454424,0.30195
1,0.25979,0.514581,0.299783
1,0.267622,0.495584,0.303116
1,0.263623,0.471421,0.306782
1,0.266289,0.465422,0.299117
1,0.268789,0.454758,0.291785
1,0.268789,0.449092,0.287285
1,0.265456,0.438594,0.294951
1,0.269455,0.504583,0.291618
1,0.272121,0.494584,0.284286
1,0.277787,0.484419,0.27812
1,0.282453,0.479253,0.277954
1,0.285452,0.473254,0.278454
1,0.27962,0.469755,0.279287
1,0.276454,0.471255,0.275621
1,0.269122,0.534411,0.274621
1,0.271621,0.514081,0.275287
1,0.266456,0.50275,0.275954
1,0.261623,0.489918,0.279787
1,0.261456,0.473254,0.278454
1,0.25829,0.464256,0.282453
1,0.260623,0.46109,0.282786
1,0.269955,0.51758,0.28112
1,0.270455,0.50225,0.28212
1,0.266289,0.494418,0.276121
1,0.266956,0.488585,0.272621
1,0.270955,0.474754,0.276787
1,0.26279,0.467922,0.274788
1,0.264123,0.460757,0.269622
1,0.266622,0.527579,0.269788
1,0.264623,0.509582,0.268622
1,0.260957,0.501416,0.268955
1,0.260123,0.488585,0.270788
1,0.255624,0.480253,0.273288
1,0.265789,0.469755,0.270788
1,0.267789,0.468255,0.264789
1,0.268455,0.527079,0.267289
1,0.267289,0.519747,0.265456
1,0.26279,0.514414,0.271455
1,0.276954,0.50175,0.265289
1,0.280787,0.493418,0.269955
1,0.273788,0.490418,0.268455
1,0.273288,0.47842,0.272955
1,0.26129,0.532411,0.276787
1,0.265789,0.508415,0.27812
1,0.272121,0.497084,0.272955
1,0.27812,0.495917,0.270955
1,0.280287,0.488419,0.274288
1,0.266456,0.48192,0.275787
1,0.265289,0.475421,0.271121
1,0.271288,0.529578,0.275454
1,0.276787,0.512081,0.273288
1,0.283453,0.507249,0.267955
1,0.273454,0.495917,0.276621
1,0.276121,0.484086,0.27762
1,0.270455,0.473921,0.278287
1,0.259957,0.471755,0.274121
1,0.26229,0.532911,0.270122
1,0.262623,0.518747,0.269622
1,0.265956,0.503749,0.272121
1,0.267789,0.499083,0.269288
1,0.27862,0.483086,0.266289
1,0.282453,0.471921,0.270455
1,0.281286,0.462256,0.268955
1,0.277954,0.528245,0.273288
1,0.270622,0.515747,0.272955
1,0.265289,0.504416,0.270788
1,0.266289,0.491918,0.268122
1,0.276121,0.479253,0.264289
1,0.267622,0.474921,0.26279
1,0.267289,0.468089,0.26229
1,0.265289,0.530912,0.269955
1,0.261623,0.517414,0.269955
1,0.26279,0.493751,0.269288
1,0.255624,0.484419,0.263456
1,0.256291,0.478754,0.263123
1,0.257457,0.464089,0.265789
1,0.251458,0.461756,0.265456
1,0.253958,0.519413,0.267622
1,0.256291,0.503249,0.267455
1,0.253458,0.493751,0.263123
1,0.256624,0.491585,0.261956
1,0.266789,0.478087,0.262956
1,0.266789,0.465422,0.266289
1,0.25929,0.460257,0.272788
1,0.264289,0.524079,0.265956
1,0.273121,0.507749,0.265789
1,0.276954,0.49875,0.270455
1,0.262623,0.490418,0.281453
1,0.270455,0.477254,0.279287
1,0.271121,0.472255,0.28012
1,0.270288,0.464923,0.277954
1,0.265789,0.528079,0.27712
1,0.266789,0.512915,0.279787
1,0.268289,0.49775,0.27762
1,0.258624,0.480253,0.273788
1,0.266789,0.471588,0.272788
1,0.25879,0.469088,0.270622
1,0.259457,0.463923,0.272455
1,0.267622,0.517747,0.271121
1,0.268622,0.50125,0.272288
1,0.281786,0.486919,0.265789
1,0.283453,0.475254,0.266622
1,0.28162,0.467589,0.269122
1,0.271621,0.465256,0.269455
1,0.268622,0.455924,0.266289
1,0.268455,0.512415,0.266289
1,0.264623,0.503083,0.268455
1,0.269622,0.486586,0.265956
1,0.273954,0.479253,0.267289
