Larve_ratio,Pupe_ratio,Male_ratio,Female_ratio
1,0.19708,0.70073,0.208029
1,0.299107,0.491071,0.276786
1,0.369159,0.584112,0.28972
1,0.312195,0.502439,0.2
1,0.348958,0.421875,0.171875
1,0.294643,0.5,0.366071
1,0.217228,0.2397,0.220974
1,0.213028,0.211268,0.191901
1,0.24153,0.2,0.215301
1,0.226516,0.209194,0.183211
1,0.228093,0.277411,0.193307
1,0.235675,0.245841,0.218423
1,0.225412,0.256696,0.220913
1,0.282786,0.268638,0.23762
1,0.26179,0.301783,0.273788
1,0.272121,0.303616,0.311115
1,0.273621,0.314114,0.314948
1,0.26229,0.313781,0.317114
1,0.26279,0.307782,0.292951
1,0.265622,0.312948,0.295951
1,0.278954,0.337777,0.304949
1,0.271121,0.329945,0.303449
1,0.26279,0.320447,0.312948
1,0.261623,0.314948,0.30145
1,0.266956,0.313448,0.306116
1,0.25979,0.30245,0.308115
1,0.256124,0.306116,0.305282
1,0.272288,0.305449,0.311615
1,0.26279,0.320613,0.318447
1,0.25929,0.301616,0.316281
1,0.269122,0.341943,0.317447
1,0.25929,0.322613,0.318947
1,0.260623,0.303783,0.305782
1,0.26279,0.306449,0.306116
1,0.274621,0.315447,0.305449
1,0.270788,0.314781,0.306116
1,0.272955,0.301116,0.313781
1,0.267789,0.303949,0.309615
1,0.264789,0.320447,0.307615
1,0.273288,0.316781,0.316947
1,0.26179,0.330612,0.321613
1,0.28162,0.323113,0.31778
1,0.271288,0.315447,0.305616
1,0.269122,0.312448,0.314948
1,0.266789,0.304616,0.304283
1,0.262623,0.303449,0.314614
1,0.275787,0.30195,0.311615
1,0.270288,0.312281,0.312948
1,0.272788,0.327612,0.320613
1,0.269122,0.321946,0.314448
1,0.26129,0.336111,0.313781
1,0.263956,0.317947,0.324613
1,0.267789,0.331111,0.310282
1,0.26079,0.323113,0.311448
1,0.268455,0.322113,0.296617
1,0.271955,0.335777,0.304283
1,0.261623,0.324779,0.322446
1,0.271955,0.31728,0.325446
1,0.266789,0.327779,0.320613
1,0.269622,0.316781,0.303783
1,0.271288,0.341443,0.304283
1,0.256291,0.312948,0.312448
1,0.268289,0.313114,0.310615
1,0.280287,0.316781,0.306449
1,0.273954,0.313281,0.309115
1,0.251958,0.321446,0.308115
1,0.269955,0.316614,0.303283
1,0.26129,0.309448,0.305449
1,0.282786,0.308949,0.306116
1,0.279953,0.312281,0.324946
1,0.261456,0.332778,0.314614
1,0.274121,0.303783,0.302283
1,0.257624,0.314448,0.316281
1,0.264123,0.316281,0.304449
1,0.253291,0.327612,0.324613
1,0.268955,0.320947,0.323613
1,0.275621,0.307782,0.307282
1,0.269288,0.308615,0.313948
1,0.261956,0.324113,0.307615
1,0.269788,0.311948,0.301616
1,0.267122,0.331945,0.311115
1,0.268622,0.333444,0.304949
1,0.273954,0.329445,0.314781
1,0.266789,0.319947,0.310282
1,0.270122,0.314114,0.308782
1,0.270455,0.310448,0.322446
1,0.265956,0.318947,0.317947
1,0.286119,0.326779,0.31728
1,0.271455,0.306116,0.310615
1,0.265289,0.306116,0.29845
1,0.264623,0.340277,0.310615
1,0.273121,0.323946,0.310282
1,0.265456,0.307449,0.315947
1,0.268122,0.318447,0.31928
1,0.255457,0.316614,0.311115
1,0.268622,0.31828,0.308449
1,0.276621,0.315281,0.314281
1,0.262123,0.321613,0.313281
1,0.264123,0.314114,0.316781
1,0.272621,0.320113,0.302116
1,0.26279,0.341276,0.314614
1,0.264123,0.329278,0.311115
1,0.277287,0.320613,0.306449
1,0.271955,0.321446,0.315614
1,0.264956,0.316281,0.314281
1,0.278287,0.303449,0.310282
1,0.258957,0.316614,0.31978
1,0.266289,0.314948,0.304449
1,0.272121,0.311115,0.314614
1,0.268455,0.304449,0.310782
1,0.273454,0.335777,0.302283
1,0.272788,0.312781,0.30045
1,0.265289,0.318447,0.314114
1,0.270455,0.324613,0.29945
1,0.274121,0.311115,0.309615
1,0.276787,0.312281,0.310115
1,0.273621,0.327112,0.310448
1,0.262123,0.319947,0.315781
1,0.270122,0.310948,0.302783
1,0.275287,0.308449,0.304949
1,0.267622,0.336444,0.315281
1,0.267289,0.315447,0.305449
1,0.268955,0.323446,0.308949
1,0.268955,0.319613,0.303116
1,0.25829,0.315447,0.310948
1,0.261123,0.313948,0.305782
1,0.259623,0.323446,0.311948
1,0.277787,0.314614,0.306449
1,0.274288,0.30295,0.320613
1,0.259623,0.303616,0.314614
1,0.267955,0.333778,0.319613
1,0.270288,0.314614,0.306616
1,0.25829,0.320447,0.296284
1,0.25829,0.325946,0.30095
1,0.257957,0.32278,0.295617
1,0.259623,0.306282,0.304616
1,0.271288,0.311281,0.314948
1,0.266956,0.304949,0.305282
1,0.245126,0.317447,0.292785
1,0.271621,0.313948,0.309448
1,0.275787,0.350275,0.320113
1,0.259457,0.32278,0.317114
1,0.272955,0.322446,0.314948
1,0.272121,0.321613,0.305782
1,0.266956,0.32278,0.313781
1,0.269122,0.306782,0.310782
1,0.267289,0.311115,0.30095
1,0.258124,0.307449,0.313781
1,0.272955,0.297117,0.325279
1,0.254624,0.312115,0.318447
1,0.267289,0.333778,0.318614
1,0.265789,0.322946,0.310282
1,0.254791,0.315947,0.306282
1,0.270955,0.325112,0.299783
1,0.263289,0.323946,0.311948
1,0.263789,0.324779,0.312615
1,0.265122,0.313114,0.31728
1,0.267122,0.317614,0.317947
1,0.268122,0.316281,0.312781
1,0.266456,0.311781,0.321946
1,0.278287,0.335611,0.318614
1,0.277287,0.321113,0.324446
1,0.272121,0.319947,0.316281
1,0.267622,0.330112,0.310448
1,0.28212,0.31728,0.327279
1,0.266289,0.315281,0.310448
1,0.261123,0.307115,0.308782
1,0.275621,0.310282,0.313114
1,0.268455,0.328612,0.322113
1,0.263456,0.318447,0.320113
1,0.270788,0.344276,0.314114
1,0.267955,0.323113,0.316947
1,0.263289,0.322946,0.305782
1,0.272621,0.322446,0.301616
1,0.277954,0.312281,0.311448
1,0.257124,0.314614,0.31728
1,0.259123,0.319613,0.321446
1,0.269288,0.322446,0.325946
1,0.267289,0.309782,0.311448
1,0.263789,0.293118,0.313781
1,0.266622,0.33811,0.318114
1,0.264289,0.312115,0.332278
1,0.277287,0.302616,0.325779
1,0.258624,0.306116,0.316281
1,0.271288,0.310782,0.320613
1,0.268622,0.308449,0.310948
1,0.278454,0.31828,0.307782
1,0.277287,0.326446,0.304449
1,0.27712,0.319613,0.30145
1,0.269955,0.315614,0.313281
1,0.267122,0.331945,0.298117
1,0.263123,0.310115,0.29895
1,0.260457,0.320613,0.308782
1,0.273621,0.309448,0.305449
1,0.270788,0.310448,0.316447
1,0.265122,0.312115,0.320113
1,0.276954,0.317447,0.312615
1,0.260457,0.311115,0.31778
1,0.266122,0.311948,0.322946
1,0.271288,0.313614,0.322113
