time,Egg,Larve,Pupe,Adult_male,Adult_female,MALE_DD,MALE_DR,MALE_RR
0,846,179,3,98,82,0,0,106
1,1058,372,31,92,75,0,0,98
2,1008,647,59,86,76,0,0,92
3,1353,878,100,92,82,0,0,86
4,1102,1122,154,101,87,0,0,92
5,1103,1282,211,109,111,0,0,101
6,1360,1384,289,128,128,0,0,109
7,1207,1525,308,167,145,0,0,128
8,2061,1740,347,202,195,0,0,167
9,2369,2065,397,235,224,0,0,202
10,2996,2468,459,277,274,0,0,235
11,3252,2968,522,321,330,0,0,277
12,3313,3408,636,387,381,0,0,321
13,5159,4027,755,440,458,0,0,387
14,6069,4775,885,526,524,0,0,440
15,7567,5947,1047,607,619,0,0,526
16,8894,6001,1259,721,751,0,0,607
17,10137,6001,1388,818,842,0,0,721
18,12997,6001,1490,980,976,0,0,818
19,12931,6001,1524,1084,1071,0,0,980
20,14521,6001,1481,1214,1200,0,0,1084
21,15236,6001,1623,1275,1286,0,0,1214
22,16832,6001,1606,1377,1416,0,0,1275
23,16944,6001,1606,1463,1471,0,0,1377
24,17404,6001,1630,1551,1512,0,0,1463
25,18048,6001,1601,1601,1585,0,0,1551
26,18442,6001,1604,1680,1673,0,0,1601
27,17993,6001,1568,1734,1730,0,0,1680
28,19074,6001,1545,1780,1730,0,0,1734
29,20065,6001,1613,1795,1752,0,0,1780
30,20224,6001,1594,1815,1814,0,0,1795
31,20224,6001,1581,1820,1874,0,0,1815
32,19907,6001,1582,1854,1886,0,0,1820
33,20772,6001,1608,1930,1890,0,0,1854
34,19065,6001,1639,1973,1921,0,0,1930
35,20147,6001,1598,1989,1974,0,0,1973
36,20452,6001,1559,1976,1980,0,0,1989
37,20486,6001,1545,1971,1977,0,0,1976
38,22222,6001,1586,1958,1988,0,0,1971
39,22223,6001,1581,1993,1983,0,0,1958
40,22707,6001,1558,2040,1968,0,0,1993
41,20496,6001,1599,2033,1969,0,0,2040
42,22584,6001,1592,2435,1948,0,0,2033
43,19831,6001,1622,2330,1957,400,0,2035
44,18610,6001,1610,2280,1971,344,0,1986
45,18713,6001,1622,2251,1971,297,0,1983
46,18478,6001,1574,2287,1978,259,0,1992
47,17680,6001,1585,2251,1981,231,0,2056
48,18625,6001,1596,2236,1983,200,4,2047
49,19078,6001,1532,2612,2028,182,7,2047
50,17784,6001,1594,2554,2048,556,17,2039
51,18453,6001,1575,2469,2065,489,24,2041
52,18457,6001,1614,2444,2037,424,47,1998
53,18539,6001,1598,2398,2035,367,68,2009
54,18336,6001,1583,2369,2047,310,76,2012
55,19069,6001,1642,2296,2054,272,93,2004
56,18508,6001,1668,2664,2044,221,114,1961
57,19584,6001,1599,2625,2055,597,120,1947
58,19012,6001,1579,2529,2045,521,137,1967
59,18500,6001,1572,2488,2042,464,144,1921
60,18486,6001,1602,2456,2037,398,159,1931
61,17800,6001,1554,2449,2022,346,160,1950
62,17768,6001,1532,2417,1977,306,173,1970
63,18065,6001,1503,2783,1969,260,181,1976
64,17586,6001,1470,2726,1977,624,202,1957
65,16794,6001,1542,2612,1965,548,225,1953
66,17892,6001,1556,2598,1930,479,245,1888
67,17439,6001,1600,2512,1897,413,271,1914
68,16285,6001,1593,2531,1907,355,291,1866
69,14756,6001,1646,2492,1879,310,326,1895
70,16581,6001,1624,2877,1840,270,323,1899
71,16299,6001,1609,2811,1832,626,329,1922
72,15513,6001,1660,2747,1786,562,340,1909
73,16302,6001,1646,2698,1784,489,362,1896
74,17123,6001,1623,2656,1802,432,365,1901
75,17003,6001,1623,2577,1777,364,388,1904
76,15026,6001,1594,2573,1794,305,393,1879
77,15384,6001,1621,2978,1787,262,413,1898
78,15854,6001,1579,2931,1818,622,424,1932
79,16043,6001,1546,2869,1807,555,437,1939
80,17280,6001,1579,2770,1790,491,450,1928
81,16085,6001,1545,2692,1789,430,445,1895
82,15346,6001,1590,2650,1757,376,457,1859
83,13985,6001,1571,2611,1769,328,477,1845
84,13661,6001,1609,2997,1752,286,483,1842
85,14241,6001,1633,2953,1731,641,507,1849
86,15031,6001,1576,2924,1772,571,494,1888
87,15555,6001,1550,2885,1786,497,510,1917
88,15423,6001,1570,2827,1779,439,504,1942
89,14659,6001,1563,2740,1810,379,519,1929
90,15871,6001,1539,2727,1812,335,518,1887
91,14940,6001,1559,3088,1799,295,542,1890
92,14973,6001,1606,2974,1819,656,540,1892
93,15933,6001,1582,2829,1841,557,560,1857
