time,Egg,Larve,Pupe,Adult_male,Adult_female
0,386,274,54,192,57
1,275,224,67,110,62
2,131,214,79,125,62
3,69,205,64,103,41
4,38,192,67,81,33
5,197,112,33,56,41
6,683,267,58,64,59
7,953,568,121,120,109
8,963,915,221,183,197
9,1321,1501,340,314,275
10,2199,2271,518,630,439
11,3651,3246,765,798,709
12,3825,4667,1052,1198,1031
13,5214,5513,1559,1481,1310
14,8898,6001,1571,1811,1643
15,8144,6001,1633,1822,1867
16,7845,6001,1642,1885,1890
17,10077,6001,1574,1883,1903
18,8904,6001,1577,1847,1758
19,8943,6001,1594,1878,1776
20,8505,6001,1674,2027,1830
21,8319,6001,1627,1980,1821
22,8052,6001,1577,1923,1878
23,8151,6001,1570,1890,1809
24,8379,6001,1602,1881,1837
25,8592,6001,1559,1815,1849
26,8852,6001,1537,1837,1832
27,8682,6001,1634,1833,1870
28,9800,6001,1577,1924,1911
29,9490,6001,1556,1810,1898
30,8685,6001,1615,2052,1905
31,10741,6001,1556,1936,1914
32,8798,6001,1564,1823,1835
33,7689,6001,1577,1839,1837
34,8504,6001,1648,1893,1833
35,9588,6001,1625,1889,1837
36,8376,6001,1638,1807,1883
37,8654,6001,1607,1824,1858
38,9556,6001,1589,1923,1846
39,9361,6001,1640,1901,1902
40,8082,6001,1571,1984,1930
41,9743,6001,1690,1939,1907
42,8847,6001,1628,1893,1834
43,8173,6001,1615,1875,1890
44,8173,6001,1601,1828,1826
45,8569,6001,1576,1821,1888
46,9134,6001,1655,1812,1870
47,10626,6001,1622,1874,1878
48,9264,6001,1637,1966,1924
49,8847,6001,1615,1932,1887
50,9200,6001,1568,2017,1883
51,9253,6001,1584,1908,1948
52,8961,6001,1607,1987,1862
53,8846,6001,1565,1939,1869
54,8933,6001,1611,1933,1780
55,9598,6001,1632,2015,1826
56,9986,6001,1570,1949,1935
57,10423,6001,1632,1904,1953
58,9316,6001,1601,1967,1924
59,9124,6001,1618,1901,1823
60,9999,6001,1628,2049,1826
61,9819,6001,1538,1878,1875
62,9124,6001,1610,1879,1864
63,8872,6001,1682,1901,1839
64,8257,6001,1644,1880,1855
65,9647,6001,1512,1929,1849
66,9060,6001,1620,1900,1820
67,9188,6001,1568,1857,1833
68,8113,6001,1697,1854,1837
69,10555,6001,1680,1874,1950
70,8771,6001,1569,1997,1888
71,8039,6001,1645,1823,1814
72,8992,6001,1546,1887,1898
73,8107,6001,1585,1898,1827
74,9331,6001,1520,1966,1948
75,9062,6001,1614,1926,1942
76,10073,6001,1654,1847,1844
77,9271,6001,1616,1852,1884
78,9516,6001,1572,1945,1846
79,8582,6001,1619,1872,1810
80,9365,6001,1603,1992,1867
81,10260,6001,1612,2001,1830
82,8954,6001,1644,1977,1889
83,8476,6001,1601,1920,1862
84,7704,6001,1621,1885,1853
85,8858,6001,1623,1863,1935
86,10126,6001,1596,1914,1908
87,9628,6001,1717,1961,1904
88,9129,6001,1629,1837,1864
89,7971,6001,1592,1837,1791
90,8473,6001,1588,2042,1864
91,8588,6001,1639,1944,1862
92,8559,6001,1593,1845,1896
93,9694,6001,1609,1911,1916
94,10111,6001,1533,1900,1867
95,9221,6001,1612,1910,1851
96,7666,6001,1660,1892,1886
97,9092,6001,1573,1930,1880
98,8608,6001,1585,1885,1901
99,8779,6001,1636,1921,1813
100,8195,6001,1577,2048,1888
101,9243,6001,1585,1976,1867
102,8393,6001,1664,1924,1839
103,8819,6001,1632,1929,1894
104,8921,6001,1590,1898,1886
105,9189,6001,1670,1821,1862
106,10716,6001,1554,1900,1919
107,9027,6001,1598,1890,1827
108,9024,6001,1633,1867,1888
109,8851,6001,1611,1827,1865
110,8691,6001,1641,2015,1814
111,8789,6001,1637,1877,1803
112,9163,6001,1592,1911,1885
113,9016,6001,1623,1948,1797
114,9521,6001,1645,1867,1858
115,9030,6001,1661,1874,1861
116,9023,6001,1642,1963,1863
117,8339,6001,1573,1920,1895
118,9748,6001,1621,1866,1817
119,10231,6001,1652,1851,1830
120,8634,6001,1606,2019,1892
121,9360,6001,1604,1893,1833
122,8440,6001,1614,1941,1854
123,7810,6001,1614,1918,1819
124,9007,6001,1550,1893,1866
125,8977,6001,1567,1884,1835
126,9314,6001,1558,1941,1872
127,7790,6001,1667,1888,1839
128,9354,6001,1646,1818,1924
129,9020,6001,1558,1822,1888
130,9144,6001,1608,2003,1918
131,8299,6001,1622,1888,1840
132,8348,6001,1550,1923,1778
133,8365,6001,1550,1956,1806
134,8561,6001,1548,1937,1774
135,8668,6001,1558,1838,1828
136,9323,6001,1628,1868,1890
137,8527,6001,1602,1830,1832
138,9030,6001,1471,1905,1757
139,8129,6001,1630,1884,1857
140,9047,6001,1655,2102,1921
141,8561,6001,1557,1937,1903
142,9521,6001,1638,1935,1890
143,9097,6001,1633,1930,1835
144,10407,6001,1602,1937,1883
145,8584,6001,1615,1841,1865
146,8935,6001,1604,1867,1806
147,9599,6001,1549,1845,1883
148,9577,6001,1638,1783,1952
149,9710,6001,1528,1873,1911
150,10207,6001,1604,2003,1912
151,8089,6001,1595,1938,1862
152,9349,6001,1529,1896,1838
153,7696,6001,1626,1951,1799
154,8185,6001,1580,1944,1872
155,8172,6001,1583,1949,1876
156,7723,6001,1591,1879,1904
157,8474,6001,1603,1906,1908
158,9349,6001,1609,1898,1877
159,8254,6001,1599,1871,1932
160,7757,6001,1670,2014,1912
161,10251,6001,1664,1927,1947
162,9311,6001,1633,1920,1898
163,9398,6001,1606,1981,1863
164,9712,6001,1693,1904,1964
165,9542,6001,1598,1892,1863
166,7316,6001,1567,1843,1853
167,8625,6001,1654,1862,1879
168,7972,6001,1611,1972,1933
169,8840,6001,1581,1911,1921
170,10432,6001,1625,2066,1885
171,11275,6001,1608,1939,1902
172,8354,6001,1580,1938,1835
173,9669,6001,1636,1935,1810
174,9206,6001,1668,1874,1869
175,9952,6001,1543,1888,1904
176,8862,6001,1555,1918,1929
177,8838,6001,1616,1935,1956
178,9601,6001,1604,1859,1869
179,9457,6001,1583,1759,1883
180,9498,6001,1600,2029,1909
181,9131,6001,1586,1873,1994
182,8342,6001,1664,1816,1955
183,9413,6001,1552,1837,1898
184,8412,6001,1628,1865,1924
185,8409,6001,1612,1851,1866
186,9414,6001,1671,1910,1847
187,8990,6001,1664,1959,1827
188,8521,6001,1663,1918,1809
189,9081,6001,1620,1894,1880
190,8218,6001,1603,1992,1789
191,8982,6001,1579,1861,1794
192,6984,6001,1563,1924,1853
193,8922,6001,1642,1857,1833
194,10067,6001,1625,1863,1899
195,9094,6001,1591,1873,1921
196,9701,6001,1662,1905,1876
197,9204,6001,1563,1867,1907
198,8358,6001,1597,1872,1938
199,10116,6001,1628,1882,1933
