time,Egg,Larve,Pupe,Adult_male,Adult_female,MALE_DD,MALE_DR,MALE_RR
0,252,347,106,273,77,1,1,95
1,623,519,102,159,109,200,3,70
2,159,525,141,199,136,44,19,96
3,619,714,197,202,128,11,53,135
4,742,716,191,249,179,5,45,152
5,961,1134,249,277,202,4,34,211
6,1883,1669,403,432,334,0,34,243
7,2570,2476,608,730,561,0,25,407
8,3968,3509,778,868,771,200,16,514
9,4254,4972,1232,1230,1107,52,73,743
10,6072,6001,1600,1673,1483,10,125,1095
11,7577,6001,1634,1855,1629,2,112,1559
12,8882,6001,1604,1846,1706,0,67,1788
13,7407,6001,1531,1892,1847,0,41,1805
14,8448,6001,1594,2066,1840,0,21,1871
15,8852,6001,1591,1962,1800,200,13,1853
16,9619,6001,1641,1867,1834,51,36,1875
17,8843,6001,1585,1940,1894,12,62,1793
18,7972,6001,1587,1895,1845,0,56,1884
19,9487,6001,1595,1944,1825,0,41,1854
20,8925,6001,1618,1807,1834,0,16,1928
21,8991,6001,1614,2110,1796,0,16,1791
22,8333,6001,1586,1941,1807,200,14,1896
23,8044,6001,1585,1958,1774,37,24,1880
24,8323,6001,1600,1983,1858,6,53,1899
25,9022,6001,1618,1897,1867,2,61,1920
26,8780,6001,1599,1900,1872,1,45,1851
27,8775,6001,1579,1876,1805,1,21,1878
28,8266,6001,1632,2020,1867,0,9,1867
29,7883,6001,1646,1885,1870,200,8,1812
30,8436,6001,1600,1900,1838,52,28,1805
31,8295,6001,1629,1987,1856,12,54,1834
32,9942,6001,1592,1902,1812,3,51,1933
33,8618,6001,1527,1855,1829,1,39,1862
34,7599,6001,1588,1903,1871,1,25,1829
35,8329,6001,1577,2070,1874,0,14,1889
36,8344,6001,1644,1923,1799,200,9,1861
37,10243,6001,1642,1964,1842,43,26,1854
38,8806,6001,1634,1961,1825,10,58,1896
39,7332,6001,1554,1852,1911,1,40,1920
40,8741,6001,1582,1831,1836,0,29,1823
41,10160,6001,1684,1883,1867,0,13,1818
42,9249,6001,1564,2101,1872,0,6,1877
43,8920,6001,1614,1963,1887,200,5,1896
44,9389,6001,1599,1874,1823,51,32,1880
45,8838,6001,1586,1873,1828,13,55,1806
46,8943,6001,1592,1889,1815,4,46,1823
47,9423,6001,1595,1827,1838,2,32,1855
48,9819,6001,1582,1857,1916,0,21,1806
49,8507,6001,1626,2045,1836,0,21,1836
50,9829,6001,1576,1974,1852,200,11,1834
51,9476,6001,1645,1887,1753,61,40,1873
52,8169,6001,1563,1864,1902,6,68,1813
53,8048,6001,1635,1878,1821,3,61,1800
54,9906,6001,1544,1936,1864,0,39,1839
55,8721,6001,1553,1853,1830,0,32,1904
56,9507,6001,1589,2057,1845,0,21,1832
57,8057,6001,1580,2008,1843,200,12,1845
58,8040,6001,1583,1915,1800,55,19,1934
59,9819,6001,1662,1918,1855,18,54,1843
